playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
cairomi01,2010,1,CIN,NL,OF,1,1,21,1,0,0,0,,,,,
cairomi01,2010,1,CIN,NL,SS,1,0,3,0,0,0,0,,,,,
callaal01,2010,1,KCA,AL,2B,11,11,297,19,30,1,9,,,,,
callaal01,2010,1,KCA,AL,3B,76,76,2005,45,139,6,13,,,,,
callaal01,2010,2,LAA,AL,2B,1,0,6,0,0,0,0,,,,,
callaal01,2010,2,LAA,AL,3B,54,52,1397,38,100,4,12,,,,,
callaal01,2010,2,LAA,AL,OF,1,0,3,0,0,0,0,,,,,
camermi01,2010,1,BOS,AL,OF,46,43,1176,111,3,2,1,,,,,
campsh01,2010,1,TOR,AL,P,70,0,217,4,4,0,1,,,,,
canoro01,2010,1,NYA,AL,2B,158,157,4180,341,432,3,114,,,,,
cantujo01,2010,1,FLO,NL,1B,40,7,375,109,10,0,15,,,,,
cantujo01,2010,1,FLO,NL,3B,81,81,1897,42,118,16,11,,,,,
cantujo01,2010,2,TEX,AL,1B,23,21,531,158,11,0,20,,,,,
cantujo01,2010,2,TEX,AL,2B,1,0,6,0,0,0,0,,,,,
cantujo01,2010,2,TEX,AL,3B,8,5,144,2,6,0,0,,,,,
cappsma01,2010,1,WAS,NL,P,47,0,138,1,5,0,0,,,,,
cappsma01,2010,2,MIN,AL,P,27,0,81,2,3,0,1,,,,,
capuach01,2010,1,MIL,NL,P,24,9,198,2,10,0,0,,,,,
carides01,2010,1,CHN,NL,P,8,0,12,0,1,0,0,,,,,
carlilu01,2010,1,CLE,AL,C,6,4,111,34,4,0,1,0,,4,2,
carlsje01,2010,1,TOR,AL,P,20,0,41,2,2,0,1,,,,,
carmofa01,2010,1,CLE,AL,P,33,33,631,22,39,2,6,,,,,
carpean01,2010,1,PHI,NL,P,1,0,9,0,3,0,0,,,,,
carpech01,2010,1,SLN,NL,P,35,35,705,35,29,1,4,,,,,
carpmi01,2010,1,SEA,AL,1B,9,9,198,65,4,0,3,,,,,
carpmi01,2010,1,SEA,AL,OF,1,1,12,0,0,0,0,,,,,
carraca01,2010,1,CLE,AL,P,7,7,134,3,5,0,0,,,,,
carradj01,2010,1,PIT,NL,P,45,0,167,6,8,1,0,,,,,
carradj01,2010,2,ARI,NL,P,18,0,68,1,1,1,1,,,,,
carrobr01,2010,1,FLO,NL,OF,25,20,560,33,2,1,0,,,,,
carroja01,2010,1,LAN,NL,2B,48,19,657,48,78,0,12,,,,,
carroja01,2010,1,LAN,NL,3B,11,8,220,5,14,2,1,,,,,
carroja01,2010,1,LAN,NL,OF,5,5,114,13,0,0,0,,,,,
carroja01,2010,1,LAN,NL,SS,69,64,1719,80,195,4,32,,,,,
carsoma01,2010,1,OAK,AL,OF,33,21,582,45,2,0,0,,,,,
cartech01,2010,1,NYN,NL,OF,30,26,530,30,0,0,0,,,,,
cartech02,2010,1,OAK,AL,OF,22,22,468,25,0,2,0,,,,,
cashke01,2010,1,HOU,NL,C,19,18,470,131,9,0,2,1,,15,4,
cashke01,2010,1,HOU,NL,P,1,0,3,0,0,0,0,,,,,
cashke01,2010,2,BOS,AL,C,29,19,543,148,14,1,0,6,,23,3,
cashnan01,2010,1,CHN,NL,P,53,0,163,3,13,0,2,,,,,
casilal01,2010,1,MIN,AL,2B,24,16,477,34,51,1,11,,,,,
casilal01,2010,1,MIN,AL,3B,6,1,57,1,2,0,0,,,,,
casilal01,2010,1,MIN,AL,OF,1,0,9,1,0,0,0,,,,,
casilal01,2010,1,MIN,AL,SS,30,20,568,30,69,4,15,,,,,
cassebo01,2010,1,LAA,AL,P,16,0,60,2,3,0,0,,,,,
castial02,2010,1,BAL,AL,P,14,0,32,1,2,0,1,,,,,
castilu01,2010,1,NYN,NL,2B,74,64,1730,122,176,2,38,,,,,
castiwe01,2010,1,CHN,NL,C,5,5,132,33,3,0,0,0,,3,2,
castrja01,2010,1,HOU,NL,C,67,57,1528,449,34,2,6,7,,31,18,
castrju01,2010,1,PHI,NL,2B,7,3,108,12,13,2,5,,,,,
castrju01,2010,1,PHI,NL,3B,11,4,147,1,10,1,1,,,,,
castrju01,2010,1,PHI,NL,SS,32,26,717,31,78,3,15,,,,,
castrju01,2010,2,LAN,NL,SS,1,1,24,1,1,0,1,,,,,
castrra01,2010,1,CHA,AL,C,34,31,837,214,14,1,0,1,,23,9,
castrst01,2010,1,CHN,NL,SS,123,121,3221,183,334,27,74,,,,,
catalfr01,2010,1,NYN,NL,1B,1,1,16,0,0,0,0,,,,,
catalfr01,2010,1,NYN,NL,OF,1,0,8,0,0,0,0,,,,,
cecilbr01,2010,1,TOR,AL,P,28,28,518,3,21,1,2,,,,,
cedajo01,2010,1,FLO,NL,P,8,0,26,0,0,0,0,,,,,
cedenro02,2010,1,PIT,NL,SS,136,132,3447,183,382,18,68,,,,,
cervefr01,2010,1,NYA,AL,3B,2,0,9,1,0,0,0,,,,,
cervefr01,2010,1,NYA,AL,C,90,80,2172,579,45,13,2,2,,55,9,
chacigu01,2010,1,HOU,NL,P,44,0,115,1,3,1,0,,,,,
chacijh01,2010,1,COL,NL,P,28,21,412,8,13,1,2,,,,,
chambjo03,2010,1,NYA,AL,P,73,0,215,2,6,0,1,,,,,
chapmar01,2010,1,CIN,NL,P,15,0,40,2,1,0,0,,,,,
chaveer01,2010,1,OAK,AL,1B,1,0,15,7,0,0,0,,,,,
chaveje01,2010,1,ATL,NL,P,28,0,110,1,5,0,0,,,,,
chaveje01,2010,2,KCA,AL,P,23,0,78,2,1,0,0,,,,,
chenbr01,2010,1,KCA,AL,P,33,23,421,4,24,1,0,,,,,
chicoma01,2010,1,WAS,NL,P,1,1,15,0,0,0,0,,,,,
choatra01,2010,1,TBA,AL,P,85,0,134,4,8,1,1,,,,,
choosh01,2010,1,CLE,AL,OF,142,142,3749,267,14,4,3,,,,,
churcry01,2010,1,PIT,NL,OF,45,36,956,76,5,0,1,,,,,
churcry01,2010,2,ARI,NL,OF,11,6,186,20,0,0,0,,,,,
ciriape01,2010,1,PIT,NL,SS,1,0,6,1,2,0,1,,,,,
cishest01,2010,1,FLO,NL,P,3,0,13,2,0,0,0,,,,,
clemeje01,2010,1,PIT,NL,1B,38,33,880,295,18,2,20,,,,,
clevlbr01,2010,1,ATL,NL,OF,2,1,36,5,0,0,0,,,,,
clippty01,2010,1,WAS,NL,P,78,0,273,2,3,0,1,,,,,
coellro01,2010,1,BOS,AL,P,6,0,17,0,0,0,0,,,,,
coffeto01,2010,1,MIL,NL,P,69,0,187,2,8,2,1,,,,,
coghlch01,2010,1,FLO,NL,OF,90,87,2310,160,7,1,0,,,,,
cokeph01,2010,1,DET,AL,P,74,1,194,2,6,1,1,,,,,
colemca01,2010,1,CHN,NL,P,12,8,171,3,9,0,4,,,,,
colomje01,2010,1,SEA,AL,P,12,0,51,0,3,0,0,,,,,
colonro01,2010,1,KCA,AL,P,5,0,6,0,0,0,0,,,,,
colvity01,2010,1,CHN,NL,OF,111,81,2335,174,4,6,0,,,,,
congeha01,2010,1,LAA,AL,C,10,9,240,63,3,3,0,0,,7,2,
conrabr01,2010,1,ATL,NL,2B,9,2,89,2,13,1,0,,,,,
conrabr01,2010,1,ATL,NL,3B,37,22,681,17,48,7,5,,,,,
contrjo01,2010,1,PHI,NL,P,67,0,170,1,7,0,0,,,,,
cookaa01,2010,1,COL,NL,P,23,23,383,6,18,1,2,,,,,
coraal01,2010,1,NYN,NL,1B,2,0,4,1,0,0,0,,,,,
coraal01,2010,1,NYN,NL,2B,47,38,1033,86,81,1,29,,,,,
coraal01,2010,1,NYN,NL,SS,6,3,96,7,11,1,4,,,,,
coraal01,2010,2,TEX,AL,2B,2,2,54,2,3,0,2,,,,,
coraal01,2010,2,TEX,AL,3B,1,0,6,1,1,0,0,,,,,
cordech01,2010,1,SEA,AL,P,9,0,29,0,0,0,0,,,,,
cordefr01,2010,1,CIN,NL,P,75,0,218,1,10,1,0,,,,,
cormila01,2010,1,TBA,AL,P,60,0,186,11,6,0,3,,,,,
corpama01,2010,1,COL,NL,P,56,0,187,4,5,0,0,,,,,
correke01,2010,1,SDN,NL,P,28,26,435,13,13,2,0,,,,,
corteda02,2010,1,SEA,AL,P,4,0,16,1,0,0,0,,,,,
counscr01,2010,1,MIL,NL,2B,3,1,44,3,7,1,2,,,,,
counscr01,2010,1,MIL,NL,3B,20,9,297,7,20,3,5,,,,,
counscr01,2010,1,MIL,NL,SS,42,25,761,30,79,2,17,,,,,
cousisc01,2010,1,FLO,NL,OF,11,4,135,18,0,0,0,,,,,
craigal01,2010,1,SLN,NL,1B,5,1,51,16,1,0,2,,,,,
craigal01,2010,1,SLN,NL,2B,1,0,3,0,0,0,0,,,,,
