yearID,teamID,lgID,playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr
2010,SEA,AL,branyru01,57,56,57,4,0,0,4,0,0,0,0,0,0,0,52,1,0
2010,MIL,NL,braunry02,157,154,157,153,0,0,0,0,0,0,153,0,0,153,1,2,1
2010,CIN,NL,braybi01,35,0,35,35,35,0,0,0,0,0,0,0,0,0,0,0,0
2010,OAK,AL,breslcr01,75,0,5,75,75,0,0,0,0,0,0,0,0,0,0,0,0
2010,TBA,AL,brignre01,113,75,113,108,0,0,0,68,0,50,0,0,2,2,1,27,2
2010,PHI,NL,browndo01,35,13,35,15,0,0,0,0,0,0,0,0,15,15,0,20,0
2010,BOS,AL,browndu01,7,3,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0
2010,CLE,AL,brownjo05,26,20,26,17,0,0,10,0,0,0,7,0,0,7,7,6,0
2010,LAN,NL,broxtjo01,64,0,61,64,64,0,0,0,0,0,0,0,0,0,0,0,0
2010,CIN,NL,bruceja01,148,133,148,146,0,0,0,0,0,0,0,0,146,146,0,9,0
2010,WAS,NL,brunebr01,19,0,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0
2010,BOS,AL,buchhcl01,28,28,1,28,28,0,0,0,0,0,0,0,0,0,0,0,0
2010,COL,NL,buchhta01,7,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0
2010,TOR,AL,buchhta01,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2010,TOR,AL,buckjo01,118,108,118,112,0,112,0,0,0,0,0,0,0,0,4,5,0
2010,ARI,NL,bucknbi02,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
2010,OAK,AL,bucktr01,14,13,14,13,0,0,0,0,0,0,10,0,3,13,1,0,1
2010,LAA,AL,buddery01,6,3,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0
2010,CHA,AL,buehrma01,33,33,2,33,33,0,0,0,0,0,0,0,0,0,0,0,0
2010,FLO,NL,buentja01,8,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0
2010,LAA,AL,bulgeja01,25,0,2,25,25,0,0,0,0,0,0,0,0,0,0,0,0
2010,KCA,AL,bullibr01,13,5,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0
2010,SFN,NL,bumgama01,20,18,20,18,18,0,0,0,0,0,0,0,0,0,0,2,0
2010,WAS,NL,burkeja02,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2010,NYA,AL,burneaj01,33,33,2,33,33,0,0,0,0,0,0,0,0,0,0,0,0
2010,MIN,AL,burneal01,41,0,4,41,41,0,0,0,0,0,0,0,0,0,0,0,0
2010,WAS,NL,burnese01,73,0,69,73,73,0,0,0,0,0,0,0,0,0,0,0,0
2010,PIT,NL,burrebr01,20,13,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0
2010,SFN,NL,burrepa01,96,88,96,87,0,0,0,0,0,0,87,0,0,87,2,8,0
2010,TBA,AL,burrepa01,24,24,24,0,0,0,0,0,0,0,0,0,0,0,24,0,0
2010,SFN,NL,burriem01,7,0,7,5,0,0,0,5,0,0,0,0,0,0,0,0,3
2010,CIN,NL,burtoja01,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2010,MIL,NL,bushda01,40,31,38,32,32,0,0,0,0,0,0,0,0,0,0,1,7
2010,MIN,AL,buterdr01,49,44,49,47,0,47,0,0,0,0,0,0,0,0,1,2,1
2010,KCA,AL,butlebi03,158,157,158,127,0,0,127,0,0,0,0,0,0,0,31,1,0
2010,HOU,NL,byrdati01,64,0,59,64,64,0,0,0,0,0,0,0,0,0,0,0,0
2010,CHN,NL,byrdma01,152,145,152,151,0,0,0,0,0,0,0,151,0,151,1,3,0
2010,SEA,AL,byrneer01,15,8,15,11,0,0,0,0,0,0,10,1,0,11,4,0,4
2010,CLE,AL,cabreas01,97,94,97,95,0,0,0,0,0,95,0,0,0,0,1,2,1
2010,SDN,NL,cabreev01,76,55,76,67,0,0,0,6,0,61,0,0,0,0,0,8,5
2010,BOS,AL,cabrefe01,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2010,ATL,NL,cabreme01,147,115,147,136,0,0,0,0,0,0,84,55,25,136,0,15,0
2010,DET,AL,cabremi01,150,150,150,148,0,0,148,0,0,0,0,0,0,0,2,0,0
2010,CIN,NL,cabreor01,123,119,123,121,0,0,0,0,0,121,0,0,0,0,0,3,0
2010,OAK,AL,cahiltr01,30,30,2,30,30,0,0,0,0,0,0,0,0,0,0,0,0
2010,MIL,NL,cainlo01,43,36,43,39,0,0,0,0,0,0,1,38,1,39,0,4,0
2010,SFN,NL,cainma01,35,33,33,33,33,0,0,0,0,0,0,0,0,0,0,2,0
2010,CIN,NL,cairomi01,91,40,91,56,0,0,14,6,37,1,0,0,1,1,2,38,1
2010,KCA,AL,callaal01,88,88,88,87,0,0,0,11,76,0,0,0,0,0,1,0,0
2010,LAA,AL,callaal01,58,52,58,54,0,0,0,1,54,0,1,0,0,1,0,6,0
2010,BOS,AL,camermi01,48,43,48,46,0,0,0,0,0,0,0,46,0,46,1,2,2
2010,TOR,AL,campsh01,70,0,4,70,70,0,0,0,0,0,0,0,0,0,0,0,0
2010,NYA,AL,canoro01,160,159,160,158,0,0,0,158,0,0,0,0,0,0,2,1,0
2010,FLO,NL,cantujo01,97,97,97,88,0,0,40,0,81,0,0,0,0,0,9,0,0
2010,TEX,AL,cantujo01,30,26,30,29,0,0,23,1,8,0,0,0,0,0,0,2,1
2010,MIN,AL,cappsma01,27,0,1,27,27,0,0,0,0,0,0,0,0,0,0,0,0
2010,WAS,NL,cappsma01,47,0,45,47,47,0,0,0,0,0,0,0,0,0,0,0,0
2010,MIL,NL,capuach01,24,9,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0
2010,CHN,NL,carides01,8,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0
2010,CLE,AL,carlilu01,6,4,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0
2010,TOR,AL,carlsje01,20,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0
2010,CLE,AL,carmofa01,33,33,2,33,33,0,0,0,0,0,0,0,0,0,0,0,0
2010,PHI,NL,carpean01,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2010,SLN,NL,carpech01,35,35,34,35,35,0,0,0,0,0,0,0,0,0,0,0,0
