playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
conrabr01,2010,1,ATL,NL,103,156,31,39,11,1,8,33,5,1,16,45,0,1,4,0,0
contrjo01,2010,1,PHI,NL,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cookaa01,2010,1,COL,NL,28,40,5,6,2,0,0,1,0,0,0,17,0,0,5,0,0
coraal01,2010,1,NYN,NL,62,169,14,35,6,3,0,20,4,1,10,16,1,4,2,2,4
cordech01,2010,1,SEA,AL,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cordefr01,2010,1,CIN,NL,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cormila01,2010,1,TBA,AL,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
corpama01,2010,1,COL,NL,56,5,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
correke01,2010,1,SDN,NL,28,44,4,6,1,0,0,5,0,0,2,20,0,0,6,0,0
corteda02,2010,1,SEA,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
counscr01,2010,1,MIL,NL,102,204,16,51,8,0,2,21,1,1,21,29,0,1,3,1,0
cousisc01,2010,1,FLO,NL,27,37,2,11,2,2,0,2,0,0,1,13,0,0,0,0,0
craigal01,2010,1,SLN,NL,44,114,12,28,7,0,4,18,0,1,9,26,1,0,0,1,1
crainje01,2010,1,MIN,AL,71,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cramebo01,2010,1,OAK,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crawfca02,2010,1,TBA,AL,154,600,110,184,30,13,19,90,47,10,46,104,3,3,3,5,2
crispco01,2010,1,OAK,AL,75,290,51,81,14,4,8,38,32,3,30,49,0,0,3,5,6
crosbbo01,2010,1,PIT,NL,61,156,9,35,8,0,1,11,0,2,16,33,2,1,2,0,1
crowetr01,2010,1,CLE,AL,122,442,48,111,24,3,2,36,20,7,29,73,1,3,5,0,13
cruzju02,2010,1,KCA,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cruzlu01,2010,1,MIL,NL,7,17,2,4,0,1,0,1,0,0,0,2,0,0,0,0,1
cruzne02,2010,1,TEX,AL,108,399,60,127,31,3,22,78,17,4,38,81,5,1,1,6,12
cuddymi01,2010,1,MIN,AL,157,609,93,165,37,5,14,81,7,3,58,93,7,4,0,4,26
cuetojo01,2010,1,CIN,NL,31,54,2,6,0,0,0,2,0,0,1,22,0,0,8,0,1
cunniaa01,2010,1,SDN,NL,53,132,17,38,12,1,1,15,1,3,7,28,1,3,2,3,3
curtico01,2010,1,NYA,AL,31,59,7,11,3,0,1,8,0,0,4,15,0,1,0,0,0
custja01,2010,1,OAK,AL,112,349,50,95,19,0,13,52,2,2,68,127,0,5,0,3,6
daiglca01,2010,1,HOU,NL,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daleyma01,2010,1,COL,NL,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
damonjo01,2010,1,DET,AL,145,539,81,146,36,5,8,51,11,1,69,90,2,2,2,1,5
danksjo01,2010,1,CHA,AL,32,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
